_id	month	neighborhood_municipality	bivalent_booster
160913	2023-07-01	Greenfield (Pittsburgh)	14
160914	2022-09-01	Hampton	419
160915	2022-11-01	Hampton	1280
160916	2023-01-01	Hampton	275
160917	2023-04-01	Hampton	42
160918	2023-06-01	Hampton	35
160919	2023-08-01	Hampton	21
160920	2023-10-01	Hampton	3
160921	2022-09-01	Harmar	67
160922	2022-11-01	Harmar	197
160923	2023-01-01	Harmar	47
160924	2023-04-01	Harmar	9
160925	2023-06-01	Harmar	6
160926	2023-08-01	Harmar	1
160927	2022-10-01	Harrison	565
160928	2022-12-01	Harrison	261
160929	2023-03-01	Harrison	36
160930	2023-05-01	Harrison	18
160931	2023-07-01	Harrison	6
160932	2022-10-01	Hays (Pittsburgh)	17
160933	2022-12-01	Hays (Pittsburgh)	7
160934	2023-03-01	Hays (Pittsburgh)	3
160935	2023-05-01	Hays (Pittsburgh)	1
160936	2022-10-01	Hazelwood (Pittsburgh)	232
160937	2022-12-01	Hazelwood (Pittsburgh)	90
160938	2023-03-01	Hazelwood (Pittsburgh)	12
160939	2022-09-01	Coraopolis	44
160940	2022-11-01	Coraopolis	280
160941	2023-01-01	Coraopolis	67
160942	2023-04-01	Coraopolis	13
160943	2023-02-01	Crafton	27
160944	2023-09-01	Crafton	2
160945	2023-06-01	Crafton Heights (Pittsburgh)	13
160946	2023-08-01	Crafton Heights (Pittsburgh)	5
160947	2023-10-01	Crafton Heights (Pittsburgh)	1
160948	2022-09-01	Crawford-Roberts (Pittsburgh)	23
160949	2022-11-01	Crawford-Roberts (Pittsburgh)	123
160950	2023-01-01	Crawford-Roberts (Pittsburgh)	55
160951	2023-04-01	Crawford-Roberts (Pittsburgh)	10
160952	2023-06-01	Crawford-Roberts (Pittsburgh)	3
160953	2023-08-01	Crawford-Roberts (Pittsburgh)	2
160954	2022-09-01	Crescent	23
160955	2022-11-01	Crescent	120
160956	2023-01-01	Crescent	24
160957	2023-04-01	Crescent	4
160958	2023-06-01	Crescent	2
160959	2022-10-01	Dormont	619
160960	2022-12-01	Dormont	258
160961	2023-03-01	Dormont	34
160962	2023-05-01	Dormont	14
160963	2023-07-01	Dormont	7
160964	2023-02-01	Dravosburg	6
160965	2023-10-01	Duquesne	1
160966	2023-09-01	Duquesne Heights (Pittsburgh)	2
160967	2022-09-01	East Allegheny (Pittsburgh)	31
160968	2022-11-01	East Allegheny (Pittsburgh)	131
160969	2023-01-01	East Allegheny (Pittsburgh)	31
160970	2023-04-01	East Allegheny (Pittsburgh)	8
160971	2023-06-01	East Allegheny (Pittsburgh)	4
160972	2023-08-01	East Allegheny (Pittsburgh)	1
160973	2022-10-01	East Deer	74
160974	2022-12-01	East Deer	58
160975	2023-03-01	East Deer	5
160976	2023-05-01	East Deer	2
160977	2023-07-01	East Deer	1
160978	2023-02-01	East Hills (Pittsburgh)	17
160979	2023-09-01	East Hills (Pittsburgh)	3
160980	2022-09-01	East Liberty (Pittsburgh)	101
160981	2022-11-01	East Liberty (Pittsburgh)	314
160982	2023-01-01	East Liberty (Pittsburgh)	95
160983	2023-04-01	East Liberty (Pittsburgh)	16
160984	2023-06-01	East Liberty (Pittsburgh)	21
160985	2023-08-01	East Liberty (Pittsburgh)	7
160986	2023-10-01	East Liberty (Pittsburgh)	3
160987	2023-02-01	East Mckeesport	13
160988	2023-02-01	East Pittsburgh	8
160989	2023-09-01	East Pittsburgh	1
160990	2022-10-01	Edgewood	414
160991	2022-12-01	Edgewood	145
160992	2023-03-01	Edgewood	23
160993	2023-05-01	Edgewood	8
160994	2023-07-01	Edgewood	4
160995	2022-10-01	Edgeworth	135
160996	2022-12-01	Edgeworth	49
160997	2023-03-01	Edgeworth	10
160998	2023-05-01	Edgeworth	1
160999	2023-07-01	Edgeworth	2
161000	2023-02-01	Elizabeth Borough	7
161001	2023-09-01	Elizabeth Borough	1
161002	2022-09-01	Elizabeth Township	150
161003	2022-11-01	Elizabeth Township	669
161004	2023-01-01	Elizabeth Township	133
161005	2023-04-01	Elizabeth Township	22
161006	2023-06-01	Elizabeth Township	6
161007	2023-08-01	Elizabeth Township	9
161008	2023-10-01	Elizabeth Township	1
161009	2022-09-01	Emsworth	18
161010	2022-09-01	Esplen (Pittsburgh)	3
161011	2022-11-01	Esplen (Pittsburgh)	5
161012	2023-02-01	Etna	19
161013	2022-10-01	Fairywood (Pittsburgh)	41
161014	2022-12-01	Fairywood (Pittsburgh)	18
161015	2023-03-01	Fairywood (Pittsburgh)	4
161016	2023-05-01	Fairywood (Pittsburgh)	3
161017	2023-07-01	Fairywood (Pittsburgh)	1
161018	2023-07-01	Fawn	2
161019	2022-09-01	Findlay	52
161020	2022-11-01	Findlay	307
161021	2023-01-01	Findlay	50
161022	2023-04-01	Findlay	12
161023	2023-06-01	Findlay	6
161024	2023-08-01	Findlay	5
161025	2022-09-01	Fineview (Pittsburgh)	7
161026	2022-11-01	Fineview (Pittsburgh)	49
161027	2023-01-01	Fineview (Pittsburgh)	16
161028	2023-04-01	Fineview (Pittsburgh)	6
161029	2023-06-01	Fineview (Pittsburgh)	1
161030	2023-08-01	Fineview (Pittsburgh)	1
161031	2022-09-01	Forest Hills	204
161032	2022-11-01	Forest Hills	524
161033	2023-01-01	Forest Hills	128
161034	2023-04-01	Forest Hills	18
161035	2023-06-01	Forest Hills	12
161036	2023-09-01	Forward	1
161037	2022-09-01	Fox Chapel	252
161038	2022-11-01	Fox Chapel	572
161039	2023-01-01	Fox Chapel	139
161040	2023-04-01	Fox Chapel	10
161041	2023-06-01	Fox Chapel	13
161042	2023-08-01	Fox Chapel	4
161043	2023-10-01	Fox Chapel	1
161044	2022-10-01	Franklin Park	1257
161045	2022-12-01	Franklin Park	635
161046	2023-03-01	Franklin Park	81
161047	2023-05-01	Franklin Park	50
161048	2023-07-01	Franklin Park	22
161049	2023-02-01	Friendship (Pittsburgh)	11
161050	2022-09-01	Garfield (Pittsburgh)	62
161051	2022-11-01	Garfield (Pittsburgh)	196
161052	2023-01-01	Garfield (Pittsburgh)	42
161053	2023-04-01	Garfield (Pittsburgh)	13
161054	2023-06-01	Garfield (Pittsburgh)	12
161055	2023-08-01	Garfield (Pittsburgh)	6
161056	2023-02-01	Glassport	18
161057	2023-09-01	Glassport	2
161058	2023-02-01	Glen Hazel (Pittsburgh)	3
161059	2022-10-01	Glen Osborne	54
161060	2022-12-01	Glen Osborne	22
161061	2023-03-01	Glen Osborne	3
161062	2023-05-01	Glen Osborne	2
161063	2023-07-01	Glen Osborne	2
161064	2022-10-01	Green Tree	420
161065	2022-12-01	Green Tree	161
161066	2023-03-01	Green Tree	22
161067	2023-05-01	Green Tree	14
161068	2023-07-01	Green Tree	9
161069	2022-09-01	Greenfield (Pittsburgh)	177
161070	2022-11-01	Greenfield (Pittsburgh)	519
161071	2023-01-01	Greenfield (Pittsburgh)	110
161072	2023-04-01	Greenfield (Pittsburgh)	19
161073	2023-06-01	Greenfield (Pittsburgh)	16
161074	2023-08-01	Greenfield (Pittsburgh)	11
161075	2023-10-01	Greenfield (Pittsburgh)	1
161076	2023-07-01	Hampton	17
161077	2022-10-01	Harmar	233
161078	2022-12-01	Harmar	129
161079	2023-03-01	Harmar	9
161080	2023-05-01	Harmar	7
161081	2023-07-01	Harmar	2
161082	2022-09-01	Harrison	98
161083	2022-09-01	Hays (Pittsburgh)	2
161084	2022-11-01	Hays (Pittsburgh)	5
161085	2023-01-01	Hays (Pittsburgh)	8
161086	2022-10-01	Haysville	2
161087	2022-12-01	Haysville	4
161088	2022-09-01	Hazelwood (Pittsburgh)	42
161089	2022-11-01	Hazelwood (Pittsburgh)	148
161090	2023-01-01	Hazelwood (Pittsburgh)	46
161091	2023-04-01	Hazelwood (Pittsburgh)	9
161092	2023-06-01	Hazelwood (Pittsburgh)	9
161093	2022-09-01	Heidelberg	16
161094	2022-11-01	Heidelberg	62
161095	2023-01-01	Heidelberg	19
161096	2023-04-01	Heidelberg	1
161097	2023-06-01	Heidelberg	1
161098	2023-08-01	Heidelberg	1
161099	2023-07-01	Highland Park (Pittsburgh)	9
161100	2023-02-01	Aleppo	3
161101	2023-09-01	Aleppo	1
161102	2022-09-01	Allegheny Center (Pittsburgh)	16
161103	2022-11-01	Allegheny Center (Pittsburgh)	68
161104	2023-01-01	Allegheny Center (Pittsburgh)	11
161105	2023-04-01	Allegheny Center (Pittsburgh)	5
161106	2023-06-01	Allegheny Center (Pittsburgh)	2
161107	2022-09-01	Allegheny West (Pittsburgh)	13
161108	2022-11-01	Allegheny West (Pittsburgh)	38
161109	2023-01-01	Allegheny West (Pittsburgh)	9
161110	2023-04-01	Allegheny West (Pittsburgh)	3
161111	2023-08-01	Allegheny West (Pittsburgh)	2
161112	2023-02-01	Allentown (Pittsburgh)	12
161113	2022-10-01	Arlington (Pittsburgh)	61
161114	2022-12-01	Arlington (Pittsburgh)	37
161115	2023-03-01	Arlington (Pittsburgh)	4
161116	2023-05-01	Arlington (Pittsburgh)	4
161117	2023-07-01	Arlington (Pittsburgh)	3
161118	2023-02-01	Arlington Heights (Pittsburgh)	3
161119	2023-07-01	Aspinwall	5
161120	2022-10-01	Avalon	349
161121	2022-12-01	Avalon	108
161122	2023-03-01	Avalon	15
161123	2023-05-01	Avalon	6
161124	2023-07-01	Avalon	2
161125	2023-02-01	Baldwin Borough	138
161126	2022-09-01	Baldwin Township	24
161127	2022-11-01	Baldwin Township	137
161128	2023-01-01	Baldwin Township	27
161129	2023-04-01	Baldwin Township	6
161130	2023-06-01	Baldwin Township	1
161131	2023-08-01	Baldwin Township	2
161132	2022-09-01	Banksville (Pittsburgh)	52
161133	2022-11-01	Bedford Dwellings (Pittsburgh)	33
161134	2023-01-01	Bedford Dwellings (Pittsburgh)	13
161135	2023-04-01	Bedford Dwellings (Pittsburgh)	19
161136	2023-06-01	Bedford Dwellings (Pittsburgh)	2
161137	2023-08-01	Bedford Dwellings (Pittsburgh)	4
161138	2022-10-01	Beechview (Pittsburgh)	424
161139	2022-12-01	Beechview (Pittsburgh)	204
161140	2023-03-01	Beechview (Pittsburgh)	34
161141	2023-05-01	Beechview (Pittsburgh)	26
161142	2023-07-01	Beechview (Pittsburgh)	7
161143	2022-09-01	Bell Acres	26
161144	2022-11-01	Bell Acres	79
161145	2022-09-01	Bellevue	108
161146	2022-11-01	Bellevue	409
161147	2023-01-01	Bellevue	85
161148	2023-04-01	Bellevue	15
161149	2023-06-01	Bellevue	7
161150	2023-08-01	Bellevue	4
161151	2023-10-01	Bellevue	1
161152	2022-10-01	Beltzhoover (Pittsburgh)	76
161153	2022-12-01	Beltzhoover (Pittsburgh)	42
161154	2023-03-01	Beltzhoover (Pittsburgh)	6
161155	2023-05-01	Beltzhoover (Pittsburgh)	7
161156	2023-07-01	Beltzhoover (Pittsburgh)	2
161157	2022-09-01	Ben Avon	47
161158	2022-10-01	Bethel Park	2606
161159	2022-12-01	Bethel Park	1169
161160	2023-03-01	Bethel Park	148
161161	2023-05-01	Bethel Park	73
161162	2023-07-01	Bethel Park	29
161163	2022-09-01	Blawnox	19
161164	2022-11-01	Blawnox	94
161165	2023-01-01	Blawnox	26
161166	2023-04-01	Blawnox	2
161167	2023-06-01	Blawnox	5
161168	2023-08-01	Blawnox	5
161169	2023-02-01	Bloomfield (Pittsburgh)	77
161170	2023-09-01	Bloomfield (Pittsburgh)	8
161171	2023-06-01	Bluff (Pittsburgh)	3
161172	2022-09-01	Brentwood	124
161173	2022-11-01	Brentwood	462
161174	2023-01-01	Brentwood	133
161175	2023-04-01	Brentwood	21
161176	2023-06-01	Brentwood	10
161177	2023-08-01	Brentwood	11
161178	2023-02-01	Bridgeville	33
161179	2022-10-01	Brighton Heights (Pittsburgh)	461
161180	2022-12-01	Brighton Heights (Pittsburgh)	222
161181	2023-03-01	Brighton Heights (Pittsburgh)	43
161182	2023-05-01	Brighton Heights (Pittsburgh)	17
161183	2023-07-01	Brighton Heights (Pittsburgh)	10
161184	2023-02-01	Brookline (Pittsburgh)	67
161185	2023-09-01	Brookline (Pittsburgh)	6
161186	2022-09-01	California-Kirkbride (Pittsburgh)	4
161187	2022-11-01	California-Kirkbride (Pittsburgh)	32
161188	2023-01-01	California-Kirkbride (Pittsburgh)	12
161189	2023-04-01	California-Kirkbride (Pittsburgh)	3
161190	2023-06-01	California-Kirkbride (Pittsburgh)	2
161191	2023-08-01	California-Kirkbride (Pittsburgh)	3
161192	2022-09-01	Castle Shannon	122
161193	2022-11-01	Castle Shannon	489
161194	2023-01-01	Castle Shannon	93
161195	2023-04-01	Castle Shannon	25
161196	2023-06-01	Castle Shannon	15
161197	2023-08-01	Castle Shannon	10
161198	2023-10-01	Castle Shannon	1
161199	2022-10-01	Central Business District (Pittsburgh)	333
161200	2022-12-01	Central Business District (Pittsburgh)	133
161201	2023-03-01	Central Business District (Pittsburgh)	13
161202	2023-05-01	Central Business District (Pittsburgh)	14
161203	2023-07-01	Central Business District (Pittsburgh)	2
161204	2022-10-01	Central Lawrenceville (Pittsburgh)	541
161205	2023-03-01	Central Lawrenceville (Pittsburgh)	22
161206	2022-10-01	Central Northside (Pittsburgh)	284
161207	2022-12-01	Central Northside (Pittsburgh)	100
161208	2023-03-01	Central Northside (Pittsburgh)	11
161209	2023-05-01	Central Northside (Pittsburgh)	8
161210	2023-07-01	Central Northside (Pittsburgh)	3
161211	2023-02-01	Chartiers City (Pittsburgh)	7
161212	2023-02-01	Chateau (Pittsburgh)	1
161213	2022-09-01	Cheswick	24
161214	2022-11-01	Cheswick	146
161215	2022-10-01	Churchill	389
161216	2022-12-01	Churchill	136
161217	2023-03-01	Churchill	25
161218	2023-05-01	Churchill	8
161219	2023-07-01	Churchill	6
161220	2022-09-01	Clairton	39
161221	2022-11-01	Clairton	213
161222	2023-01-01	Clairton	44
161223	2023-04-01	Clairton	13
161224	2023-06-01	Clairton	6
161225	2023-08-01	Clairton	3
161226	2023-10-01	Clairton	2
161227	2023-10-01	Collier	2
161228	2023-02-01	Coraopolis	21
161229	2023-09-01	Coraopolis	1
161230	2022-09-01	Crafton	83
161231	2022-11-01	Crafton	345
161232	2023-01-01	Crafton	81
161233	2023-04-01	Crafton	16
161234	2023-06-01	Crafton	4
161235	2023-08-01	Crafton	6
161236	2023-10-01	Crafton	1
161237	2022-10-01	Crafton Heights (Pittsburgh)	194
161238	2022-12-01	Crafton Heights (Pittsburgh)	105
161239	2023-03-01	Crafton Heights (Pittsburgh)	24
161240	2023-05-01	Crafton Heights (Pittsburgh)	16
161241	2023-07-01	Crafton Heights (Pittsburgh)	5
161242	2023-02-01	Crawford-Roberts (Pittsburgh)	10
161243	2023-09-01	Crescent	1
161244	2023-02-01	Dormont	64
161245	2022-09-01	Dravosburg	16
161246	2022-11-01	Dravosburg	91
161247	2023-01-01	Dravosburg	15
161248	2023-04-01	Dravosburg	5
161249	2023-06-01	Dravosburg	3
161250	2023-08-01	Dravosburg	2
161251	2022-10-01	Duquesne	164
161252	2022-12-01	Duquesne	70
161253	2023-03-01	Duquesne	30
161254	2022-10-01	East Hills (Pittsburgh)	99
161255	2022-12-01	East Hills (Pittsburgh)	54
161256	2023-03-01	East Hills (Pittsburgh)	16
161257	2023-05-01	East Hills (Pittsburgh)	6
161258	2023-07-01	East Hills (Pittsburgh)	4
161259	2023-02-01	East Liberty (Pittsburgh)	46
161260	2023-08-01	East Mckeesport	1
161261	2023-10-01	East Mckeesport	1
161262	2022-09-01	Edgewood	152
161263	2022-11-01	Edgewood	312
161264	2023-01-01	Edgewood	77
161265	2023-04-01	Edgewood	10
161266	2023-06-01	Edgewood	11
161267	2023-08-01	Edgewood	6
161268	2023-10-01	Edgewood	3
161269	2023-02-01	Edgeworth	8
161270	2023-02-01	Elizabeth Township	74
161271	2023-09-01	Elizabeth Township	3
161272	2023-02-01	Elliott (Pittsburgh)	16
161273	2023-09-01	Elliott (Pittsburgh)	2
161274	2022-10-01	Emsworth	137
161275	2022-12-01	Emsworth	61
161276	2023-03-01	Emsworth	14
161277	2023-05-01	Emsworth	4
161278	2023-07-01	Emsworth	7
161279	2022-09-01	Etna	29
161280	2022-11-01	Etna	133
161281	2023-01-01	Etna	55
161282	2023-04-01	Etna	17
161283	2023-06-01	Etna	4
161284	2023-08-01	Etna	8
161285	2023-10-01	Etna	1
161286	2023-02-01	Fairywood (Pittsburgh)	12
161287	2023-09-01	Fairywood (Pittsburgh)	1
161288	2022-09-01	Fawn	14
161289	2022-11-01	Fawn	102
161290	2023-01-01	Fawn	8
161291	2023-04-01	Fawn	3
161292	2022-10-01	Findlay	351
161293	2022-12-01	Findlay	154
161294	2023-03-01	Findlay	18
161295	2023-05-01	Findlay	10
161296	2023-07-01	Findlay	4
161297	2023-02-01	Fineview (Pittsburgh)	5
161298	2023-08-01	Forest Hills	4
161299	2023-10-01	Forest Hills	2
161300	2022-10-01	Forward	80
161301	2022-12-01	Forward	46
161302	2023-03-01	Forward	8
161303	2023-05-01	Forward	2
161304	2023-02-01	Fox Chapel	49
161305	2023-09-01	Fox Chapel	1
161306	2023-02-01	Franklin Park	102
161307	2023-09-01	Franklin Park	13
161308	2023-02-01	Frazer	7
161309	2022-10-01	Garfield (Pittsburgh)	222
161310	2022-12-01	Garfield (Pittsburgh)	112
161311	2023-03-01	Garfield (Pittsburgh)	27
161312	2023-05-01	Garfield (Pittsburgh)	19
161313	2023-07-01	Garfield (Pittsburgh)	7
161314	2022-10-01	Glassport	160
161315	2022-12-01	Glassport	88
161316	2023-03-01	Glassport	23
161317	2022-10-01	Glen Hazel (Pittsburgh)	22
161318	2022-12-01	Glen Hazel (Pittsburgh)	8
161319	2023-03-01	Glen Hazel (Pittsburgh)	8
161320	2023-07-01	Glen Hazel (Pittsburgh)	5
161321	2023-02-01	Green Tree	31
161322	2023-09-01	Green Tree	2
161323	2022-10-01	Hampton	1708
161324	2022-12-01	Hampton	726
161325	2023-03-01	Hampton	79
161326	2023-05-01	Hampton	52
161327	2023-02-01	Harmar	40
161328	2023-09-01	Harmar	2
161329	2022-11-01	Harrison	546
161330	2023-01-01	Harrison	122
161331	2023-04-01	Harrison	14
161332	2023-06-01	Harrison	6
161333	2023-08-01	Harrison	14
161334	2023-10-01	Harrison	3
161335	2023-02-01	Hays (Pittsburgh)	3
161336	2022-11-01	Haysville	4
161337	2023-01-01	Haysville	3
161338	2023-08-01	Hazelwood (Pittsburgh)	6
161339	2023-10-01	Hazelwood (Pittsburgh)	1
161340	2023-02-01	Heidelberg	4
161341	2022-09-01	Highland Park (Pittsburgh)	271
161342	2022-11-01	Highland Park (Pittsburgh)	553
161343	2023-01-01	Highland Park (Pittsburgh)	154
161344	2023-04-01	Highland Park (Pittsburgh)	32
161345	2023-06-01	Highland Park (Pittsburgh)	14
161346	2023-08-01	Highland Park (Pittsburgh)	14
161347	2023-10-01	Highland Park (Pittsburgh)	2
161348	2022-09-01	Homestead	16
161349	2022-11-01	Homestead	146
161350	2023-01-01	Homestead	42
161351	2023-04-01	Homestead	7
161352	2023-06-01	Homestead	3
161353	2023-08-01	Homestead	5
161354	2022-11-01	Homewood North (Pittsburgh)	87
161355	2023-01-01	Homewood North (Pittsburgh)	24
161356	2023-04-01	Homewood North (Pittsburgh)	5
161357	2023-06-01	Homewood North (Pittsburgh)	3
161358	2023-08-01	Homewood North (Pittsburgh)	7
161359	2023-10-01	Homewood North (Pittsburgh)	1
161360	2022-10-01	Homewood South (Pittsburgh)	83
161361	2022-12-01	Homewood South (Pittsburgh)	46
161362	2023-03-01	Homewood South (Pittsburgh)	12
161363	2023-05-01	Homewood South (Pittsburgh)	20
161364	2023-07-01	Homewood South (Pittsburgh)	4
161365	2023-02-01	Homewood West (Pittsburgh)	3
161366	2023-09-01	Homewood West (Pittsburgh)	1
161367	2022-10-01	Ingram	226
161368	2022-12-01	Ingram	78
161369	2023-03-01	Ingram	6
161370	2023-05-01	Ingram	6
161371	2023-07-01	Ingram	2
161372	2022-10-01	Jefferson Hills	651
161373	2022-12-01	Jefferson Hills	284
161374	2023-03-01	Jefferson Hills	43
161375	2023-05-01	Jefferson Hills	25
161376	2023-07-01	Jefferson Hills	7
161377	2022-10-01	Kennedy	625
161378	2022-12-01	Kennedy	299
161379	2023-03-01	Kennedy	33
161380	2023-05-01	Kennedy	14
161381	2023-07-01	Kennedy	6
161382	2023-10-01	Kilbuck	1
161383	2022-09-01	Larimer (Pittsburgh)	10
161384	2022-11-01	Larimer (Pittsburgh)	52
161385	2023-01-01	Larimer (Pittsburgh)	14
161386	2023-04-01	Larimer (Pittsburgh)	5
161387	2023-06-01	Larimer (Pittsburgh)	1
161388	2023-08-01	Larimer (Pittsburgh)	5
161389	2023-10-01	Larimer (Pittsburgh)	1
161390	2023-02-01	Leet	5
161391	2022-10-01	Leetsdale	61
161392	2022-12-01	Leetsdale	32
161393	2023-03-01	Leetsdale	3
161394	2023-07-01	Leetsdale	3
161395	2022-09-01	Lincoln	21
161396	2022-11-01	Lincoln	43
161397	2023-01-01	Lincoln	11
161398	2023-04-01	Lincoln	1
161399	2023-08-01	Lincoln	1
161400	2023-10-01	Lincoln	1
161401	2023-02-01	Lincoln Place (Pittsburgh)	19
161402	2023-09-01	Lincoln Place (Pittsburgh)	1
161403	2022-10-01	Lincoln-Lemington-Belmar (Pittsburgh)	170
161404	2022-12-01	Lincoln-Lemington-Belmar (Pittsburgh)	84
161405	2023-03-01	Lincoln-Lemington-Belmar (Pittsburgh)	13
161406	2023-05-01	Lincoln-Lemington-Belmar (Pittsburgh)	17
161407	2023-07-01	Lincoln-Lemington-Belmar (Pittsburgh)	1
161408	2022-09-01	Lower Lawrenceville (Pittsburgh)	71
161409	2022-11-01	Lower Lawrenceville (Pittsburgh)	218
161410	2023-01-01	Lower Lawrenceville (Pittsburgh)	31
161411	2023-04-01	Lower Lawrenceville (Pittsburgh)	6
161412	2023-06-01	Lower Lawrenceville (Pittsburgh)	8
161413	2023-08-01	Lower Lawrenceville (Pittsburgh)	1
161414	2023-10-01	Lower Lawrenceville (Pittsburgh)	1
161415	2023-02-01	Manchester (Pittsburgh)	14
161416	2023-09-01	Manchester (Pittsburgh)	3
161417	2023-05-01	Hazelwood (Pittsburgh)	11
161418	2023-07-01	Hazelwood (Pittsburgh)	8
161419	2022-10-01	Highland Park (Pittsburgh)	786
161420	2022-12-01	Highland Park (Pittsburgh)	320
161421	2023-03-01	Highland Park (Pittsburgh)	53
161422	2023-05-01	Highland Park (Pittsburgh)	23
161423	2022-10-01	Homestead	94
161424	2022-12-01	Homestead	53
161425	2023-03-01	Homestead	21
161426	2023-05-01	Homestead	8
161427	2023-07-01	Homestead	3
161428	2022-10-01	Homewood North (Pittsburgh)	81
161429	2022-12-01	Homewood North (Pittsburgh)	41
161430	2023-03-01	Homewood North (Pittsburgh)	8
161431	2023-05-01	Homewood North (Pittsburgh)	9
161432	2023-07-01	Homewood North (Pittsburgh)	1
161433	2022-09-01	Homewood South (Pittsburgh)	9
161434	2022-11-01	Homewood South (Pittsburgh)	73
161435	2023-01-01	Homewood South (Pittsburgh)	29
161436	2023-04-01	Homewood South (Pittsburgh)	4
161437	2023-06-01	Homewood South (Pittsburgh)	16
161438	2023-08-01	Homewood South (Pittsburgh)	3
161439	2023-10-01	Homewood South (Pittsburgh)	1
161440	2022-10-01	Indiana	576
161441	2022-12-01	Indiana	237
161442	2023-03-01	Indiana	39
161443	2023-05-01	Indiana	21
161444	2023-07-01	Indiana	7
161445	2023-01-01	Jefferson Hills	141
161446	2023-04-01	Jefferson Hills	16
161447	2023-06-01	Jefferson Hills	16
161448	2023-08-01	Jefferson Hills	9
161449	2022-11-01	Kennedy	546
161450	2023-01-01	Kennedy	117
161451	2023-04-01	Kennedy	15
161452	2023-08-01	Kennedy	6
161453	2023-10-01	Kennedy	3
161454	2022-10-01	Kilbuck	67
161455	2022-12-01	Kilbuck	27
161456	2023-03-01	Kilbuck	3
161457	2023-05-01	Kilbuck	1
161458	2022-10-01	Knoxville (Pittsburgh)	110
161459	2022-12-01	Knoxville (Pittsburgh)	52
161460	2023-03-01	Knoxville (Pittsburgh)	13
161461	2023-05-01	Knoxville (Pittsburgh)	4
161462	2023-07-01	Knoxville (Pittsburgh)	1
161463	2022-10-01	Larimer (Pittsburgh)	64
161464	2022-10-01	Leet	88
161465	2022-12-01	Leet	33
161466	2023-03-01	Leet	1
161467	2023-05-01	Leet	3
161468	2023-07-01	Leet	1
161469	2022-10-01	Liberty	141
161470	2022-12-01	Liberty	44
161471	2023-03-01	Liberty	10
161472	2023-05-01	Liberty	4
161473	2022-10-01	Lincoln	38
161474	2022-12-01	Lincoln	24
161475	2023-03-01	Lincoln	4
161476	2023-05-01	Lincoln	1
161477	2022-09-01	Lincoln Place (Pittsburgh)	18
161478	2022-11-01	Lincoln Place (Pittsburgh)	143
161479	2023-01-01	Lincoln Place (Pittsburgh)	42
161480	2023-04-01	Lincoln Place (Pittsburgh)	9
161481	2023-06-01	Lincoln Place (Pittsburgh)	2
161482	2023-08-01	Lincoln Place (Pittsburgh)	2
161483	2023-08-01	Lincoln-Lemington-Belmar (Pittsburgh)	3
161484	2022-10-01	Lower Lawrenceville (Pittsburgh)	248
161485	2023-03-01	Lower Lawrenceville (Pittsburgh)	12
161486	2022-09-01	Manchester (Pittsburgh)	23
161487	2022-11-01	Manchester (Pittsburgh)	98
161488	2023-01-01	Manchester (Pittsburgh)	31
161489	2023-04-01	Manchester (Pittsburgh)	7
161490	2023-06-01	Manchester (Pittsburgh)	4
161491	2023-08-01	Manchester (Pittsburgh)	4
161492	2022-09-01	Marshall	123
161493	2022-11-01	Marshall	465
161494	2023-01-01	Marshall	135
161495	2023-04-01	Marshall	16
161496	2023-06-01	Marshall	17
161497	2023-08-01	Marshall	5
161498	2023-02-01	Marshall-Shadeland (Pittsburgh)	18
161499	2023-09-01	Marshall-Shadeland (Pittsburgh)	3
161500	2023-02-01	McCandless	196
161501	2023-09-01	McCandless	17
161502	2022-09-01	Mckees rocks	18
161503	2022-11-01	Mckees rocks	182
161504	2023-01-01	Mckees rocks	65
161505	2023-04-01	Mckees rocks	11
161506	2023-06-01	Mckees rocks	6
161507	2023-08-01	Mckees rocks	3
161508	2023-10-01	Mckees rocks	3
161509	2023-02-01	Middle Hill (Pittsburgh)	10
161510	2022-10-01	Millvale	198
161511	2022-12-01	Millvale	83
161512	2023-03-01	Millvale	9
161513	2023-05-01	Millvale	3
161514	2023-07-01	Millvale	4
161515	2023-09-01	Monroeville	18
161516	2022-09-01	Moon	377
161517	2022-11-01	Moon	1399
161518	2023-01-01	Moon	348
161519	2023-04-01	Moon	51
161520	2023-06-01	Moon	43
161521	2023-08-01	Moon	22
161522	2023-10-01	Moon	2
161523	2022-10-01	Morningside (Pittsburgh)	318
161524	2022-12-01	Morningside (Pittsburgh)	132
161525	2023-03-01	Morningside (Pittsburgh)	25
161526	2023-05-01	Morningside (Pittsburgh)	14
161527	2023-07-01	Morningside (Pittsburgh)	4
161528	2022-10-01	Mount Lebanon	3870
161529	2022-12-01	Mount Lebanon	1483
161530	2023-03-01	Mount Lebanon	162
161531	2023-05-01	Mount Lebanon	95
161532	2023-07-01	Mount Lebanon	46
161533	2022-09-01	Mount Oliver Borough	23
161534	2022-11-01	Mount Oliver Borough	100
161535	2023-01-01	Mount Oliver Borough	36
161536	2023-04-01	Mount Oliver Borough	13
161537	2023-06-01	Mount Oliver Borough	3
161538	2023-08-01	Mount Oliver Borough	9
161539	2022-09-01	Mount Washington (Pittsburgh)	113
161540	2022-11-01	Mount Washington (Pittsburgh)	448
161541	2023-01-01	Mount Washington (Pittsburgh)	85
161542	2023-04-01	Mount Washington (Pittsburgh)	24
161543	2023-06-01	Mount Washington (Pittsburgh)	9
161544	2023-08-01	Mount Washington (Pittsburgh)	6
