_id	month	neighborhood_municipality	bivalent_booster
160441	2022-10-01	Chalfant	62
160442	2022-12-01	Chalfant	21
160443	2023-03-01	Chalfant	2
160444	2023-05-01	Chalfant	2
160445	2022-10-01	Chartiers City (Pittsburgh)	25
160446	2022-12-01	Chartiers City (Pittsburgh)	14
160447	2023-03-01	Chartiers City (Pittsburgh)	4
160448	2022-10-01	Chateau (Pittsburgh)	3
160449	2022-10-01	Cheswick	136
160450	2022-12-01	Cheswick	60
160451	2023-03-01	Cheswick	12
160452	2023-05-01	Cheswick	2
160453	2023-07-01	Cheswick	4
160454	2023-02-01	Clairton	35
160455	2023-02-01	Collier	50
160456	2023-09-01	Collier	1
160457	2023-06-01	Coraopolis	9
160458	2023-08-01	Coraopolis	4
160459	2023-10-01	Coraopolis	2
160460	2022-09-01	Crafton Heights (Pittsburgh)	38
160461	2022-10-01	Allegheny West (Pittsburgh)	53
160462	2022-12-01	Allegheny West (Pittsburgh)	14
160463	2023-03-01	Allegheny West (Pittsburgh)	2
160464	2022-09-01	Allentown (Pittsburgh)	34
160465	2022-11-01	Allentown (Pittsburgh)	60
160466	2023-01-01	Allentown (Pittsburgh)	26
160467	2023-04-01	Allentown (Pittsburgh)	6
160468	2023-06-01	Allentown (Pittsburgh)	2
160469	2023-08-01	Allentown (Pittsburgh)	1
160470	2022-09-01	Arlington (Pittsburgh)	19
160471	2022-11-01	Arlington (Pittsburgh)	42
160472	2023-01-01	Arlington (Pittsburgh)	13
160473	2023-04-01	Arlington (Pittsburgh)	1
160474	2023-06-01	Arlington (Pittsburgh)	2
160475	2023-08-01	Arlington (Pittsburgh)	2
160476	2022-09-01	Arlington Heights (Pittsburgh)	11
160477	2023-02-01	Aspinwall	27
160478	2023-09-01	Aspinwall	3
160479	2023-02-01	Avalon	22
160480	2023-09-01	Avalon	6
160481	2022-10-01	Baldwin Borough	1461
160482	2022-12-01	Baldwin Borough	601
160483	2023-03-01	Baldwin Borough	108
160484	2023-05-01	Baldwin Borough	53
160485	2023-07-01	Baldwin Borough	17
160486	2023-02-01	Banksville (Pittsburgh)	20
160487	2022-10-01	Bedford Dwellings (Pittsburgh)	26
160488	2022-12-01	Bedford Dwellings (Pittsburgh)	15
160489	2023-03-01	Bedford Dwellings (Pittsburgh)	4
160490	2023-05-01	Bedford Dwellings (Pittsburgh)	3
160491	2022-09-01	Beechview (Pittsburgh)	81
160492	2022-11-01	Beechview (Pittsburgh)	383
160493	2023-01-01	Beechview (Pittsburgh)	94
160494	2023-04-01	Beechview (Pittsburgh)	24
